"#","RefDes","Quantity","Name","Value","Pattern","Manufacturer","MP","Package","Part Number (LCSC)","Part Number (Mouser)","Part Number (Digi-Key)","Datasheet","Number of Pins"
"65","J427","1","B9B-XH-A(LF)(SN)","EDY","SHDRV9W64P250_9X1_2490X575H700","JST","","","C157966","","","http://datasheets.diptrace.com/jst/B11B-XH-A(LF)(SN)_and_series.pdf","9"
"66","J428","1","B9B-XH-A(LF)(SN)","EDB","SHDRV9W64P250_9X1_2490X575H700","JST","","","C157966","","","http://datasheets.diptrace.com/jst/B11B-XH-A(LF)(SN)_and_series.pdf","9"
"67","J429","1","5499922-1","BCD","TE_5499922-1","TE Connectivity","","","C305993","","","http://datasheets.diptrace.com/con_headers/ENG_CD_5103308_E.pdf","10"
"68","J430","1","5499922-1","XYZ","TE_5499922-1","TE Connectivity","","","C305993","","","http://datasheets.diptrace.com/con_headers/ENG_CD_5103308_E.pdf","10"
"69","J431, J439","2","B6B-XH-A(LF)(SN)","EXT_2","SHDRV6W64P250_6X1_1740X575H700","JST","","","C144397","","","http://datasheets.diptrace.com/jst/B11B-XH-A(LF)(SN)_and_series.pdf","6"
"70","J432","1","B3B-XH-A(LF)(SN)","CAN2","SHDRV3W64P250_3X1_990X575H700","JST","","","C144394","","","http://datasheets.diptrace.com/jst/B11B-XH-A(LF)(SN)_and_series.pdf","3"
"71","J434","1","B3B-XH-A(LF)(SN)","CAN1","SHDRV3W64P250_3X1_990X575H700","JST","","","C144394","","","http://datasheets.diptrace.com/jst/B11B-XH-A(LF)(SN)_and_series.pdf","3"
"72","J435","1","B9B-XH-A(LF)(SN)","EDZ","SHDRV9W64P250_9X1_2490X575H700","JST","","","C157966","","","http://datasheets.diptrace.com/jst/B11B-XH-A(LF)(SN)_and_series.pdf","9"
"73","J436","1","B9B-XH-A(LF)(SN)","EDC","SHDRV9W64P250_9X1_2490X575H700","JST","","","C157966","","","http://datasheets.diptrace.com/jst/B11B-XH-A(LF)(SN)_and_series.pdf","9"
"74","J437","1","B5B-XH-A(LF)(SN)","BCD_E","SHDRV5W64P250_5X1_1490X575H700","JST","","","C157991","","","http://datasheets.diptrace.com/jst/B11B-XH-A(LF)(SN)_and_series.pdf","5"
"75","J438","1","B5B-XH-A(LF)(SN)","XYZ_F","SHDRV5W64P250_5X1_1490X575H700","JST","","","C157991","","","http://datasheets.diptrace.com/jst/B11B-XH-A(LF)(SN)_and_series.pdf","5"
"76","L1, L201, L202","3","SMNR4020-22UH","22uH ~1A","SUNLORD_4030S","Shun Xiang Nuo","","","C135264","","","https://www.lcsc.com/datasheet/C135264.pdf","2"
"77","L2, L3","2","","4.7uH","INDM686X647X300L127X318N","Coilank","","","C49073771","","","https://www.lcsc.com/datasheet/C49073771.pdf","2"
"78","L701","1","IND_0603_N","600R@100MHz +/-25%, 350mA, 500mohm DC","IND_0603_TDK","TAI-TECH","","","C141723","","","https://www.lcsc.com/datasheet/C141723.pdf","2"
"79","LS901","1","HCM1205","","CEP-2242","SoniCrest","","","","","","http://pribor-systems.ru/fromoremax/PDF/JL_World/HCM12X.pdf","2"
"80","MH1, MH2, MH3, MH4, MH1_PE","5","Round","","ROUND","","","","","","","","9"
"81","Q201, Q202, Q203, Q204","4","IRF7341PbF","","SOIC8P127_490X600X175L83X42N_AD1","International Rectifier","","","","942-IRF7341PBF","IRF7341PBF-ND","https://www.infineon.com/assets/row/public/documents/24/49/infineon-irf7341-datasheet-en.pdf","8"
"82","Q205, Q206, Q207, Q208","4","TK110P10PL","","DPAK3P228_991X238L51X76T645X546N_AP1","Toshiba","","","C695267","","","https://www.lcsc.com/datasheet/C695267.pdf","3"
"83","Q701, Q902","2","SI1902CDL-T1-GE3","2A -20V","SOT23-6P65_210X110L20X22M","VISHAY","","","C466988","","","https://www.lcsc.com/datasheet/C466988.pdf","6"
"84","Q901","1","BSS138LT1G","","SOT23-3P95_240X110L43X44N","ON Semiconductor","","","C82045","863-BSS138LT1G","BSS138LT1GOSDKR-ND","http://datasheets.diptrace.com/on_semi/bss138lt1-d.pdf","3"
"85","R1, R2, R7, R8, R101, R102, R1105","7","RES_0603_N","0R","RES_0603_N","","","","","","","","2"
"86","R3, R4","2","RES_0603_N","33K2","RES_0603_N","","","","","","","","2"
"87","R5","1","RES_0402","174K 0402 1%","RES_0402_202305","","","","","","","","2"
"88","R6, R206, R208","3","RES_0402","22K1 0402 1%","RES_0402_202305","","","","","","","","2"
"89","R9, R11, R22, R23","4","RES_0603_N","100K","RES_0603_N","","","","","","","","2"
"90","R10, R12","2","RES_0603_N","24K9","RES_0603_N","","","","","","","","2"
"91","R13, R14, R15, R701, R803, R804, R807, R808, R810, R811, R812, R813, R815, R816, R817, R818, R819, R820, R822, R824, R825, R826, R827, R829, R902","25","RES_0603_N","1K","RES_0603_N","","","","","","","","2"
"92","R16, R17, R18, R19, R20, R202, R204, R210, R212, R214, R216, R220, R226","13","RES_0603_N","330R","RES_0603_N","","","","","","","","2"
"93","R21, R903, R904, R906, R908","5","RES_0603_N","510R","RES_0603_N","","","","","","","","2"
"94","R24, R25","2","RES_0402","100K 0402 1%","RES_0402_202305","","","","","","","","2"
"95","R26","1","RES_1812_M","33K","RESC450X320X65L50N","","","","","","","","2"
"96","R201, R203, R209, R211, R213, R215, R217, R218, R219, R221, R222, R225, R227, R228, R229, R230, R801, R802, R805, R806, R809, R814, R821, R823, R828","25","RES_0603_N","10K","RES_0603_N","","","","","","","","2"
"97","R205, R207","2","RES_0402","309K 0402 1%","RES_0402_202305","","","","","","","","2"
"98","R223, R224, R231, R232, R739, R740, R741, R742","8","RES_0603_N","10R","RES_0603_N","","","","","","","","2"
"99","R702","1","RES_0402","1K5 0402 1%","RES_0402_202305","","","","","","","","2"
"100","R703, R704, R709, R710","4","RES_0402","33R 0402 1%","RES_0402_202305","","","","","","","","2"
"101","R705, R706, R707, R708, R711, R712, R721, R724, R725, R736, R737, R909, R911, R912, R1104, R1106, R1107","17","RES_0402","10K 0402 1%","RES_0402_202305","","","","","","","","2"
"102","R713","1","RES_0402","12K1 0402 1%","RES_0402_202305","","","","","","","","2"
"103","R714","1","RES_0402","2K7 0402 1%","RES_0402_202305","","","","","","","","2"
"104","R715, R716, R717, R718, R1101, R1102","6","RES_0402","49.9R 0402 1%","RES_0402_202305","","","","","","","","2"
"105","R719, R720, R728, R729","4","RES_0402","330R 0402 1%","RES_0402_202305","","","","","","","","2"
"106","R722, R723, R726, R727","4","RES_0402","60R4 0402 1% 50V","RES_0402_202305","","","","","","","","2"
"107","R730, R731, R732, R733","4","RES_0402","4K7 0402 1%","RES_0402_202305","","","","","","","","2"
"108","R734, R735, R743, R744, R745, R746, R913, R914, R915, R916, R917","11","YC164-FR-072KL","2K","RESCAXS8P80_320X160X70L30X50N","Yageo","","","","603-YC164-FR-072KL","YC164-FR-072KL-ND","http://datasheets.diptrace.com/rc_networks/PYu-YC_TC164_51_RoHS_L_3.pdf","8"
"109","R738","1","RES_1206_N","120R","RES_1206_N","","","","","","","","2"
"110","R901","1","RES_0603_N","47K","RES_0603_N","","","","","","","","2"
"111","R905, R907","2","RES_0603_N","","RES_0603_N","","","","","","","","2"
"112","R910","1","RES_0402_M","10K","RES_0402_M","","","","","","","","2"
"113","R1103","1","RES_0402","30K 0402 1%","RES_0402_202305","","","","","","","","2"
"114","U1, U201, U202","3","LMR51610YDBVR","1100kHz PFM","SOT23-6P95_280X145L45X37N","Texas Instruments","","","C22427220","","","https://www.ti.com/lit/ds/symlink/lmr51610.pdf","6"
"115","U2, U3","2","LM61460AASQRJRRQ1","","IC_LM61460AASQRJRRQ1","","LM61460AASQRJRRQ1","VQFN-HR-14 Texas Instruments","","","","https://www.ti.com/lit/ds/symlink/lm61460.pdf","14"
"116","U4","1","AMS1117-3.3","","SOT223-4P229_700X180L53X74N","Advanced Monolithic Systems","","","C6186","","","http://datasheets.diptrace.com/advanced_monolithic/AMS1117-3.3.pdf","4"
"117","U5, U6","2","LM66100","","TI_DCK_R-PDSO-G6_N","Texas Instruments","","","","","","https://www.lcsc.com/datasheet/C2869734.pdf","6"
"118","U7","1","LSF0102DCUR","","SOP8P50_200X310X90L27X21N_AD1","Texas Instruments","","","C964636","595-LSF0102DCUR","296-39070-6-ND","http://datasheets.diptrace.com/ti/LSF010x.pdf","8"
"119","U203, U204","2","78L05G-AB3-R","","QORVO_SOT-89","UTC","","","C71136","","","https://www.lcsc.com/datasheet/C71136.pdf","3"
"120","U205, U206","2","ADUM1200ARZ-RL7","","SOIC8P127_490X600X175L83X41N_AD1","Analog Devices","","","C15219","584-ADUM1200ARZ-R7","ADUM1200ARZ-RL7DKR-ND","http://datasheets.diptrace.com/analog_devices/ADuM1200_1201.pdf","8"
"121","U207, U208, U209, U210","4","MCP1416T-E/OT","","SOT23-5P95_270X145L35X35N_AD1","Microchip","","","C83775","579-MCP1416T-E/OT","MCP1416T-E/OTDKR-ND","http://datasheets.diptrace.com/microchip/22092c.pdf","5"
"122","U211, U910, U911","3","SN74HCT245DGSR","","TI_DGS0020A_N_N","Texas Instruments","","","C6489181","","","https://www.ti.com/lit/ds/symlink/sn74hct245.pdf?ts=1769901553397&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FSN74HCT245%252Fpart-details%252FSN74HCT245DGSR","20"
"123","U701","1","FE2.1-CQFP48A","","QFP48P50_900X900X160L60X22N","TERMINUS","","","","","","https://www.lcsc.com/datasheet/C39693.pdf","48"
"124","U702","1","LAN8742AI-CZ-TR","","QFN25P50_400X400X100L40X25T250N_AD1","Microchip","","","C621425","579-LAN8742AI-CZ-TR","LAN8742AI-CZ-TR-ND","http://datasheets.diptrace.com/microchip/8742a.pdf","25"
"125","U703","1","USBLC6-4SC6","","SOT23-6L","ST Microelectronics","LM61460AASQRJRRQ1","SOT-23-6 STMicroelectronics","","","","https://www.st.com/resource/en/datasheet/usblc6-4.pdf","6"
"126","U704, U705","2","TCAN1044AVDRBRQ1","","TI_DRB0008J_N","Texas Instruments","","","","","","https://www.ti.com/lit/ds/symlink/tcan1044a-q1.pdf","9"
"127","U706, U707","2","PCA9545APW,118","","SOP20P65_650X640X110L62X24N_AD1","Philips/NXP","","","C515584","","568-1865-6-ND","http://datasheets.diptrace.com/philips-nxp/PCA9545A_45B_45C.pdf","20"
"128","U708","1","MAX3490EESA+T","","SOIC8P127_490X600X175L83X42N_AD2","Maxim Integrated","","","C23404","700-MAX3490EESAT","MAX3490EESA+DKR-ND","http://datasheets.diptrace.com/maxim/MAX3483E-MAX3491E.pdf","8"
"129","U801","1","SN74LV4052APW","","SOP16P65_500X640X120L62X24N_AD3","Texas Instruments","","","C1546196","595-SN74LV4052APW","296-3831-5-ND","http://datasheets.diptrace.com/ti/SNx4LV4052A.pdf","16"
"130","U901, U903, U904, U906","4","PS2801-1-A","","SOIC4P127_270X700X210L50X40N","NEC","","","","968-PS2801-1-A","","http://datasheets.diptrace.com/optoisolators/ps2801.pdf","4"
"131","U902, U905, U907, U908","4","XL-1615RGBC-WS2812B","RGB WS2812","XL-1615RGBC-WS2812B","XINGLIGHT","","","","","","https://datasheet.lcsc.com/lcsc/2301111010_XINGLIGHT-XL-1615RGBC-WS2812B_C5349954.pdf","4"
"132","U909","1","SN74LVC4245APW","","SOP24P65_780X640X120L62X24N_AD1","Texas Instruments","","","C354456","595-SN74LVC4245APW","SN74LVC4245APW-ND","http://datasheets.diptrace.com/ti/SN74LVC4245A.pdf","24"
"133","U912, U913, U914, U915, U916","5","AM26LV32CD","","SOIC16P127_990X600X175L83X41N_AD4","Texas Instruments","","","C1543745","595-AM26LV32CD","296-6794-5-ND","http://datasheets.diptrace.com/ti/AM26LV32C_32I.pdf","16"
"134","U1101, U1102","2","XGZP6859D","","CF_XGZP6859D_N","CFSensor","","","","","","https://cfsensor.com/wp-content/uploads/2022/11/XGZP6859D-Pressure-Sensor-V3.0.pdf","6"
"135","U1103","1","HX717","","SOIC16P127_990X600X180L66X43N","AVIA Semiconductor","","","","","","https://www.lcsc.com/datasheet/C575394.pdf","16"
"136","X701","1","NX2016SA-25MHZ-STD-CZS-2","25Mhz","NX2016SA","NDK","","","C843258","","","https://www.lcsc.com/datasheet/C843258.pdf","4"
"137","Y701","1","X503212MSB2GI","12Mhz","YANGXING_SMD_5032_2L","Yangxing Tech","","","C112573","","","https://www.lcsc.com/datasheet/C112573.pdf","2"
"","","453","","","","","","","","","","","2236"
